Tests,Cases
1,0
2431,705
4098,772
17,1
18,3
13,3
4141,1127
4283,870
5292,768
73,11
150,31
4510,1251
4284,1140
1394,460
2202,280
2053,328
1539,306
3332,505
4291,1149
1770,452
4557,924
1420,484
66,5
3818,1035
2154,614
558,169
1645,252
2738,757
4598,940
2465,670
4831,710
2686,523
556,125
4363,1285
1775,527
1295,120
801,154
5691,885
4993,587
4338,964
2259,616
9,0
4883,797
1810,558
5748,941
1293,391
4380,508
1429,457
187,40
943,186
5529,986
983,323
824,252
3047,975
4699,1009
1419,437
647,133
993,333
1674,545
862,293
1286,353
1877,693
5971,734
149,32
3975,934
1217,292
1629,576
33,0
2144,678
1293,442
62,12
2175,647
1591,463
1337,404
1387,416
1252,367
3676,1137
97,21
2878,859
442,78
3528,1057
41,0
44,3
737,165
1556,425
559,96
4459,1078
1695,580
779,282
